Open,High,Low,Close,Volume
46387.11,46517.2,46365.74,46469.23,36.90208
46462.28,46482.59,46457.51,46468.22,13.47788
46468.22,46468.23,46407.27,46408.16,10.96832
46412.96,46442.9,46406.03,46433.6,6.3431
46431.57,46433.6,46375.6,46410.38,7.87558
46410.38,46410.39,46401.64,46403.57,5.70868
46403.58,46403.58,46381.67,46383.95,6.86993
46383.94,46433.14,46382.71,46423.89,6.96308
46423.9,46428.85,46413.6,46428.73,6.01445
46428.74,46446.57,46390,46399.76,16.5409
46399.76,46433.06,46392,46433.05,11.51382
46433.05,46520.13,46424.06,46465.54,31.57671
46465.54,46465.55,46413.42,46433.8,25.70918
46433.8,46433.81,46392.03,46406.78,13.97441
46411.44,46448.97,46404.08,46414.99,11.79526
46414.99,46415.37,46382.21,46386.19,10.252
46386.18,46395.19,46379,46390.82,5.61858
46391.42,46391.42,46347.8,46347.81,19.96431
46347.81,46366.09,46328.75,46362.4,19.95879
46362.4,46362.4,46349.21,46355,9.57442
46355,46355,46304.03,46312,37.26852
46312,46319.06,46275.15,46285.8,32.4948
46285.79,46285.8,46250.55,46252.69,16.63324
46252.68,46279.4,46242.46,46249.99,18.52434
46250,46275.71,46248.33,46248.35,32.62302
46248.35,46248.36,46132.04,46186.33,54.11715
46186.33,46233.1,46179.63,46216.93,23.12242
46216.93,46271.08,46208.37,46250,40.57574
46250,46344.23,46234.39,46312.76,42.38106
46312.76,46381.69,46292.75,46368.73,51.29955
46368.73,46391.49,46314.26,46331.08,30.45894
46331.07,46336.1,46300,46321.34,20.96029
46321.34,46443.56,46280,46436.03,35.86682
46436.03,46518.32,46432.5,46518.31,29.31849
46518.31,46527.26,46427.06,46427.95,27.81847
46427.94,46427.97,46383.78,46392.64,15.96245
46392.64,46406.48,46350.96,46371.11,14.46954
46369.79,46394,46341.55,46379.8,10.65734
46379.8,46379.81,46293.32,46312.37,19.01268
46312.38,46312.38,46276.22,46288.64,11.6262
46288.81,46363.84,46288.64,46329,23.15078
46329,46353.5,46320.3,46332.51,13.09874
46332.52,46332.52,46312.38,46329.13,8.40902
46329.12,46329.97,46307.84,46323.31,24.76988
46323.31,46323.31,46280.61,46283.37,11.99892
46283.36,46296.67,46266.32,46283.39,24.88379
46283.39,46303.79,46236.27,46293.9,31.08154
46295.42,46337.5,46286.25,46327.98,26.61854
46327.97,46384.35,46290.84,46384.34,38.03832
46384.35,46421.27,46371.97,46394.04,35.61633
46394.03,46401.9,46360.18,46368.56,9.44557
46368.56,46403.94,46368.55,46395.53,25.60603
46395.53,46400.38,46380.32,46385.31,19.11556
46385.32,46393.59,46385.31,46386.29,16.69766
46386.29,46386.29,46345.1,46354.88,9.68098
46354.88,46380.55,46352.51,46361.38,25.29168
46361.38,46379.99,46352.41,46375.42,12.74591
46375.42,46386.28,46360.19,46365.71,26.76485
46365.72,46377.84,46365.71,46375.01,7.85249
